postcode,avg_download_speed,max_download_speed,town,county
CA1 2AL,50,200,Carlisle,Cumberland
CA1 2AN,56.9,200,Carlisle,Cumberland
CA1 2AQ,55.9,106.3,Carlisle,Cumberland
CA1 2AS,57,200,Carlisle,Cumberland
CA1 2AT,48.2,106.3,Carlisle,Cumberland
CA1 2AU,39.3,106.3,Carlisle,Cumberland
CA1 2AW,62.1,106.3,Carlisle,Cumberland
CA1 2AX,49.7,106.3,Carlisle,Cumberland
CA1 2AY,57.5,106.3,Carlisle,Cumberland
CA1 2AZ,45.6,106.3,Carlisle,Cumberland
CA1 2BA,45.9,106.3,Carlisle,Cumberland
CA1 2BB,51.3,200,Carlisle,Cumberland
CA1 2BD,37.9,100,Carlisle,Cumberland
CA1 2BE,44.7,200,Carlisle,Cumberland
CA1 2BG,36.7,200,Carlisle,Cumberland
CA1 2BH,48.6,79.9,Carlisle,Cumberland
CA1 2BN,33.2,79.9,Carlisle,Cumberland
CA1 2BP,58.5,200,Carlisle,Cumberland
CA1 2BS,47.3,106.3,Carlisle,Cumberland
CA1 2BT,28.6,40,Carlisle,Cumberland
CA1 2BU,31.8,49.2,Carlisle,Cumberland
CA1 2BW,22.3,46.9,Carlisle,Cumberland
CA1 2BX,42.1,106.3,Carlisle,Cumberland
CA1 2BY,46.1,200,Carlisle,Cumberland
CA1 2DA,31,80,Carlisle,Cumberland
CA1 2DB,42.3,100,Carlisle,Cumberland
CA1 2DD,44.1,106.3,Carlisle,Cumberland
CA1 2DF,25.2,65.4,Carlisle,Cumberland
CA1 2DG,47.8,200,Carlisle,Cumberland
CA1 2DH,33.5,79.9,Carlisle,Cumberland
CA1 2DJ,43.8,106.3,Carlisle,Cumberland
CA1 2DL,47.8,200,Carlisle,Cumberland
CA1 2DN,42.1,79.9,Carlisle,Cumberland
CA1 2DP,43.3,100,Carlisle,Cumberland
CA1 2DQ,33.9,200,Carlisle,Cumberland
CA1 2DR,58.4,200,Carlisle,Cumberland
CA1 2DS,47,200,Carlisle,Cumberland
CA1 2DT,62.1,200,Carlisle,Cumberland
CA1 2DU,45.7,200,Carlisle,Cumberland
CA1 2DW,45.1,200,Carlisle,Cumberland
CA1 2DY,20.9,79.9,Carlisle,Cumberland
CA1 2DZ,39.4,80,Carlisle,Cumberland
CA1 2EA,25.9,79.9,Carlisle,Cumberland
CA1 2ED,20.5,22.3,Carlisle,Cumberland
CA1 2EE,29.9,54.5,Carlisle,Cumberland
CA1 2EF,37,106.3,Carlisle,Cumberland
